scenario,policy,replica,n_total,n_small,n_large,n_errors,mean_ms,p50_ms,p95_ms,p99_ms,mean_ms_small,p95_ms_small,p99_ms_small,mean_ms_large,p95_ms_large,p99_ms_large,throughput_rps,fairness_cv
B,sff,46,6000,4229,1771,0,0.537,0.42,0.907,0.967,0.419,0.479,0.546,0.818,0.95,1.052,100.0,0.36445
B,sff,47,6000,4269,1731,0,0.549,0.419,0.917,0.985,0.42,0.482,0.556,0.868,0.969,1.095,99.996,0.38453
B,sff,48,6000,4216,1784,0,0.555,0.42,0.922,1.013,0.421,0.485,0.564,0.873,0.978,1.115,99.996,0.38838
B,sff,49,6000,4223,1777,0,0.538,0.418,0.912,0.985,0.419,0.48,0.554,0.82,0.968,1.055,99.995,0.36613
B,sff,50,6000,4169,1831,0,0.563,0.423,0.928,1.006,0.421,0.478,0.559,0.886,0.977,1.096,99.992,0.39145
C,fifo,1,30000,24030,5970,0,0.49,0.403,0.877,0.907,0.404,0.436,0.467,0.835,0.907,0.948,500.0,0.36089
C,fifo,2,30000,24091,5909,0,0.489,0.404,0.876,0.909,0.405,0.447,0.468,0.827,0.909,0.952,499.999,0.35481
C,fifo,3,30000,24032,5968,0,0.497,0.404,0.887,0.918,0.405,0.447,0.47,0.868,0.918,0.968,499.99,0.37578
C,fifo,4,30000,23992,6008,0,0.49,0.404,0.88,0.912,0.405,0.438,0.467,0.829,0.912,0.95,499.991,0.35807
C,fifo,5,30000,24025,5975,0,0.491,0.404,0.883,0.912,0.405,0.437,0.468,0.837,0.912,0.96,499.996,0.36158
C,fifo,6,30000,24005,5995,0,0.49,0.403,0.884,0.911,0.405,0.438,0.466,0.833,0.911,0.958,499.991,0.36066
C,fifo,7,30000,24084,5916,0,0.49,0.403,0.883,0.913,0.404,0.436,0.468,0.84,0.913,0.956,499.993,0.36273
C,fifo,8,30000,24139,5861,0,0.491,0.404,0.891,0.918,0.405,0.442,0.47,0.846,0.918,0.958,499.994,0.36637
